Layer ID,Event ID,Loss
Demo 1 Alpha Group Layer 1,66,191032.016077285
Demo 1 Alpha Group Layer 1,67,542547.229044001
Demo 1 Alpha Group Layer 1,68,809401.008016537
Demo 1 Alpha Group Layer 1,69,60889.9664735911
Demo 1 Alpha Group Layer 1,70,181852.792805944
Demo 1 Alpha Group Layer 1,71,79640.4147063304
Demo 1 Alpha Group Layer 1,72,255472.062975802
Demo 1 Alpha Group Layer 1,73,413945.920666916
Demo 1 Alpha Group Layer 1,74,1525103.31457697
Demo 1 Alpha Group Layer 1,75,698690.019486884
Demo 1 Alpha Group Layer 1,76,958153.755224941
Demo 1 Alpha Group Layer 1,77,706168.563119659
Demo 1 Alpha Group Layer 1,78,70587.2792996177
Demo 1 Alpha Group Layer 1,79,534237.437267746
Demo 1 Alpha Group Layer 1,80,231001.908472878
Demo 1 Alpha Group Layer 1,81,347352.667477562
Demo 1 Alpha Group Layer 1,82,229057.42091354
Demo 1 Alpha Group Layer 1,83,154330.94683569
Demo 1 Alpha Group Layer 1,84,105505.820712648
Demo 1 Alpha Group Layer 1,85,210749.805291345
Demo 1 Alpha Group Layer 1,86,426782.26191078
Demo 1 Alpha Group Layer 1,87,87163.0027069111
Demo 1 Alpha Group Layer 1,88,170921.727726272
Demo 1 Alpha Group Layer 1,89,646983.438980548
Demo 1 Alpha Group Layer 1,90,298848.975725607
Demo 1 Alpha Group Layer 1,91,174494.956598862
Demo 1 Alpha Group Layer 1,92,1779959.97173116
Demo 1 Alpha Group Layer 1,93,91990.7447900586
Demo 1 Alpha Group Layer 1,94,20933.2770543179
Demo 1 Alpha Group Layer 1,95,366650.760711653
Demo 1 Alpha Group Layer 1,96,429259.530898202
Demo 1 Alpha Group Layer 1,97,2228929.70289077
Demo 1 Alpha Group Layer 1,98,141469.669171748
Demo 1 Alpha Group Layer 1,99,692666.123903868
Demo 1 Alpha Group Layer 1,100,1827396.34077873
Demo 1 Alpha Group Layer 1,101,721130.13616068
Demo 1 Alpha Group Layer 1,102,1424679.21458001
Demo 1 Alpha Group Layer 1,103,275036.767670653
Demo 1 Alpha Group Layer 1,104,544742.956142935
Demo 1 Alpha Group Layer 1,105,338350.925767404
Demo 1 Alpha Group Layer 1,106,97669.9381687548
Demo 1 Alpha Group Layer 1,107,104550.927028736
Demo 1 Alpha Group Layer 1,108,369873.771163673
Demo 1 Alpha Group Layer 1,109,237419.383269839
Demo 1 Alpha Group Layer 1,110,729215.082369806
Demo 1 Alpha Group Layer 1,111,351758.357511099
Demo 1 Alpha Group Layer 1,112,1271937.70155513
Demo 1 Alpha Group Layer 1,113,100349.896499339
Demo 1 Alpha Group Layer 1,114,117568.098118949
Demo 1 Alpha Group Layer 1,115,240816.361843207
Demo 1 Alpha Group Layer 1,116,116802.226195739
Demo 1 Alpha Group Layer 1,117,674964.513411185
Demo 1 Alpha Group Layer 1,118,66412.2782132795
Demo 1 Alpha Group Layer 1,119,926652.342633884
Demo 1 Alpha Group Layer 1,120,357567.096536043
Demo 1 Alpha Group Layer 1,121,185215.601207542
Demo 1 Alpha Group Layer 1,122,934324.634125331
Demo 1 Alpha Group Layer 1,123,231949.352359238
Demo 1 Alpha Group Layer 1,124,116232.062245629
Demo 1 Alpha Group Layer 1,125,280817.3845525
Demo 1 Alpha Group Layer 1,126,1027804.43148985
Demo 1 Alpha Group Layer 1,127,189439.132106125
Demo 1 Alpha Group Layer 1,128,62441.755432187
Demo 1 Alpha Group Layer 1,129,229732.48907284
Demo 1 Alpha Group Layer 1,130,270394.698161643
Demo 1 Alpha Group Layer 1,131,619065.114387825
Demo 1 Alpha Group Layer 1,132,579265.571156946
Demo 1 Alpha Group Layer 1,133,134554.568901923
Demo 1 Alpha Group Layer 1,134,344799.784551179
Demo 1 Alpha Group Layer 1,135,746946.56971477
Demo 1 Alpha Group Layer 1,136,520946.393638862
Demo 1 Alpha Group Layer 1,137,329569.15944499
Demo 1 Alpha Group Layer 1,138,101889.729922109
Demo 1 Alpha Group Layer 1,139,746964.222764278
Demo 1 Alpha Group Layer 1,140,923699.445225807
Demo 1 Alpha Group Layer 1,141,518057.26569159
Demo 1 Alpha Group Layer 1,142,289975.307329221
Demo 1 Alpha Group Layer 1,143,644481.491553061
Demo 1 Alpha Group Layer 1,144,105621.006091426
Demo 1 Alpha Group Layer 1,145,200014.74002181
Demo 1 Alpha Group Layer 1,146,105182.164362977
Demo 1 Alpha Group Layer 1,147,458233.972773467
Demo 1 Alpha Group Layer 1,148,186914.730510481
Demo 1 Alpha Group Layer 1,149,181904.944399492
Demo 1 Alpha Group Layer 1,150,302707.344753733
Demo 1 Alpha Group Layer 1,151,205929.958352358
Demo 1 Alpha Group Layer 1,152,672724.708763837
Demo 1 Alpha Group Layer 1,153,348159.876159979
Demo 1 Alpha Group Layer 1,154,191580.637647661
Demo 1 Alpha Group Layer 1,155,996635.039317356
Demo 1 Alpha Group Layer 1,156,19286.6645417286
Demo 1 Alpha Group Layer 1,157,641542.381353816
Demo 1 Alpha Group Layer 1,158,2254330.72723025
Demo 1 Alpha Group Layer 1,159,940432.640392992
Demo 1 Alpha Group Layer 1,160,100607.104450222
Demo 1 Alpha Group Layer 1,161,234459.955799981
Demo 1 Alpha Group Layer 1,162,630269.449147177
Demo 1 Alpha Group Layer 1,163,408004.052703002
Demo 1 Alpha Group Layer 1,164,125272.793789129
Demo 1 Alpha Group Layer 1,165,114637.248434658
Demo 1 Alpha Group Layer 1,166,110664.885001066
Demo 1 Alpha Group Layer 1,167,132973.184616532
Demo 1 Alpha Group Layer 1,168,145521.080999672
Demo 1 Alpha Group Layer 1,169,219763.08242052
Demo 1 Alpha Group Layer 1,170,570874.062388484
Demo 1 Alpha Group Layer 1,171,450363.224181353
Demo 1 Alpha Group Layer 1,172,220956.40632544
Demo 1 Alpha Group Layer 1,173,1638602.54066818
Demo 1 Alpha Group Layer 1,174,212845.935532034
Demo 1 Alpha Group Layer 1,175,62925.0337753032
Demo 1 Alpha Group Layer 1,176,177608.922850558
Demo 1 Alpha Group Layer 1,177,644281.011056803
Demo 1 Alpha Group Layer 1,178,1054079.60771458
Demo 1 Alpha Group Layer 1,179,293941.456455204
Demo 1 Alpha Group Layer 1,180,164763.932140993
Demo 1 Alpha Group Layer 1,181,734655.726331336
Demo 1 Alpha Group Layer 1,182,1260477.97742919
Demo 1 Alpha Group Layer 1,183,953756.164016609
Demo 1 Alpha Group Layer 1,184,217962.999129588
Demo 1 Alpha Group Layer 1,185,58516.7359878151
Demo 1 Alpha Group Layer 1,186,1077699.81257463
Demo 1 Alpha Group Layer 1,187,120820.756142241
Demo 1 Alpha Group Layer 1,188,168175.868980456
Demo 1 Alpha Group Layer 1,189,243328.682744817
Demo 1 Alpha Group Layer 1,190,223798.835523647
Demo 1 Alpha Group Layer 1,191,6249795.7017975
Demo 1 Alpha Group Layer 1,192,1298586.36825971
Demo 1 Alpha Group Layer 1,193,45586.575363714
Demo 1 Alpha Group Layer 1,194,498281.932940062
Demo 1 Alpha Group Layer 1,195,96420.8687352926
Demo 1 Alpha Group Layer 1,196,671155.35210636
Demo 1 Alpha Group Layer 1,197,1711509.61347608
Demo 1 Alpha Group Layer 1,198,71115.4880918201
Demo 1 Alpha Group Layer 1,199,2650147.58803347
Demo 1 Alpha Group Layer 1,200,383110.624354614
Demo 1 Alpha Group Layer 1,201,206372.55988932
Demo 1 Alpha Group Layer 1,202,2052305.58525151
Demo 1 Alpha Group Layer 1,203,713974.033424286
Demo 1 Alpha Group Layer 1,204,711859.12274643
Demo 1 Alpha Group Layer 1,205,73339.3614334492
Demo 1 Alpha Group Layer 1,206,2080814.8487933
Demo 1 Alpha Group Layer 1,207,320452.571780771
Demo 1 Alpha Group Layer 1,208,258438.421510411
Demo 1 Alpha Group Layer 1,209,155034.573063595
Demo 1 Alpha Group Layer 1,210,795946.562618239
Demo 1 Alpha Group Layer 1,211,132826.985652491
Demo 1 Alpha Group Layer 1,212,1597742.1507921
Demo 1 Alpha Group Layer 1,213,308521.235591338
Demo 1 Alpha Group Layer 1,214,496441.634892345
Demo 1 Alpha Group Layer 1,215,673449.804520304
Demo 1 Alpha Group Layer 1,216,25288.1056242407
Demo 1 Alpha Group Layer 1,217,54236.5642072776
Demo 1 Alpha Group Layer 1,218,141762.450870255
Demo 1 Alpha Group Layer 1,219,1007185.42696559
Demo 1 Alpha Group Layer 1,220,290524.449247659
Demo 1 Alpha Group Layer 1,221,66646.9326298041
Demo 1 Alpha Group Layer 1,222,105059.358913174
Demo 1 Alpha Group Layer 1,223,118333.474722491
Demo 1 Alpha Group Layer 1,224,482443.104085189
Demo 1 Alpha Group Layer 1,225,171794.965525687
Demo 1 Alpha Group Layer 1,226,45000.2648072547
Demo 1 Alpha Group Layer 1,227,326109.90204647
Demo 1 Alpha Group Layer 1,228,897465.991823403
Demo 1 Alpha Group Layer 1,229,128164.48138052
Demo 1 Alpha Group Layer 1,230,84571.6175623171
Demo 1 Alpha Group Layer 1,231,99476.8547984266
Demo 1 Alpha Group Layer 1,232,107379.177523097
Demo 1 Alpha Group Layer 1,233,680734.774947717
Demo 1 Alpha Group Layer 1,234,231886.648519613
Demo 1 Alpha Group Layer 1,235,1511165.16585172
Demo 1 Alpha Group Layer 1,236,288195.247887995
Demo 1 Alpha Group Layer 1,237,1495099.83350525
Demo 1 Alpha Group Layer 1,238,594809.226852775
Demo 1 Alpha Group Layer 1,239,74236.468001734
Demo 1 Alpha Group Layer 1,240,210165.206992856
Demo 1 Alpha Group Layer 1,241,395521.213214938
Demo 1 Alpha Group Layer 1,242,225512.464553854
Demo 1 Alpha Group Layer 1,243,266302.794516951
Demo 1 Alpha Group Layer 1,244,48439.208620154
Demo 1 Alpha Group Layer 1,245,50821.837785214
Demo 1 Alpha Group Layer 1,246,352479.643358789
Demo 1 Alpha Group Layer 1,247,374179.596478086
Demo 1 Alpha Group Layer 1,248,178724.915407255
Demo 1 Alpha Group Layer 1,249,274269.264545019
Demo 1 Alpha Group Layer 1,250,87118.5485528845
Demo 1 Alpha Group Layer 1,251,259940.822714211
Demo 1 Alpha Group Layer 1,252,253093.067341534
Demo 1 Alpha Group Layer 1,253,249040.161918417
Demo 1 Alpha Group Layer 1,254,476476.460601049
Demo 1 Alpha Group Layer 1,255,577167.605860037
Demo 1 Alpha Group Layer 1,256,353665.911783512
Demo 1 Alpha Group Layer 1,257,222157.185321236
Demo 1 Alpha Group Layer 1,258,1224822.36731708
Demo 1 Alpha Group Layer 1,259,150814.871116882
Demo 1 Alpha Group Layer 1,260,62861.6158353722
Demo 1 Alpha Group Layer 1,261,401616.204154088
Demo 1 Alpha Group Layer 1,262,1147151.39638838
Demo 1 Alpha Group Layer 1,263,680098.925889575
Demo 1 Alpha Group Layer 1,264,89906.3219845999
Demo 1 Alpha Group Layer 1,265,474142.327752695
Demo 1 Alpha Group Layer 1,266,130198.845460537
Demo 1 Alpha Group Layer 1,267,873975.864878484
Demo 1 Alpha Group Layer 1,268,208759.657920303
Demo 1 Alpha Group Layer 1,269,216920.870626263
Demo 1 Alpha Group Layer 1,270,178644.351381726
Demo 1 Alpha Group Layer 1,271,1227067.49720753
Demo 1 Alpha Group Layer 1,272,190582.872112939
Demo 1 Alpha Group Layer 1,273,145695.525994232
Demo 1 Alpha Group Layer 1,274,222437.624766367
Demo 1 Alpha Group Layer 1,275,113157.718770943
Demo 1 Alpha Group Layer 1,276,246935.361414003
Demo 1 Alpha Group Layer 1,277,284099.772031311
Demo 1 Alpha Group Layer 1,278,199017.908477588
Demo 1 Alpha Group Layer 1,279,228022.251367218
Demo 1 Alpha Group Layer 1,280,194338.314852123
Demo 1 Alpha Group Layer 1,281,288002.732949952
Demo 1 Alpha Group Layer 1,282,106558.188970706
Demo 1 Alpha Group Layer 1,283,1008973.01732083
Demo 1 Alpha Group Layer 1,284,241580.015477998
Demo 1 Alpha Group Layer 1,285,430995.043780981
Demo 1 Alpha Group Layer 1,286,529674.341275133
Demo 1 Alpha Group Layer 1,287,379260.40905362
Demo 1 Alpha Group Layer 1,288,131630.966672629
Demo 1 Alpha Group Layer 1,289,231963.651021281
Demo 1 Alpha Group Layer 1,290,738159.670100608
Demo 1 Alpha Group Layer 1,291,286768.936617178
Demo 1 Alpha Group Layer 1,292,300846.9403212
Demo 1 Alpha Group Layer 1,293,31725.1828718345
Demo 1 Alpha Group Layer 1,294,525871.11372909
Demo 1 Alpha Group Layer 1,295,30189.4252016809
Demo 1 Alpha Group Layer 1,296,107130.109971775
Demo 1 Alpha Group Layer 1,297,940305.887278533
Demo 1 Alpha Group Layer 1,298,401146.139166294
Demo 1 Alpha Group Layer 1,299,573287.609309731
Demo 1 Alpha Group Layer 1,300,279334.381079385
Demo 1 Alpha Group Layer 1,301,60685.5062990406
Demo 1 Alpha Group Layer 1,302,331391.669078767
Demo 1 Alpha Group Layer 1,303,352134.176098812
Demo 1 Alpha Group Layer 1,304,63439.0007509787
Demo 1 Alpha Group Layer 1,305,122391.961245285
Demo 1 Alpha Group Layer 1,306,225790.36205317
Demo 1 Alpha Group Layer 1,307,255878.214100929
Demo 1 Alpha Group Layer 1,308,492946.558103682
Demo 1 Alpha Group Layer 1,309,322589.531071025
Demo 1 Alpha Group Layer 1,310,473217.666095201
Demo 1 Alpha Group Layer 1,311,1173812.83964581
Demo 1 Alpha Group Layer 1,312,200033.97892165
Demo 1 Alpha Group Layer 1,313,296275.014988785
Demo 1 Alpha Group Layer 1,314,687120.366365544
Demo 1 Alpha Group Layer 1,315,27308.1793542516
Demo 1 Alpha Group Layer 1,316,123439.119805884
Demo 1 Alpha Group Layer 1,317,133761.231979527
Demo 1 Alpha Group Layer 1,318,810901.492996334
Demo 1 Alpha Group Layer 1,319,583835.519915505
Demo 1 Alpha Group Layer 1,320,239661.445588276
Demo 1 Alpha Group Layer 1,321,142626.972236217
Demo 1 Alpha Group Layer 1,322,287312.86087963
Demo 1 Alpha Group Layer 1,323,584465.175660097
Demo 1 Alpha Group Layer 1,324,170845.735624148
Demo 1 Alpha Group Layer 1,325,1168223.44372436
Demo 1 Alpha Group Layer 1,326,3286758.95921643
Demo 1 Alpha Group Layer 1,327,190715.647689307
Demo 1 Alpha Group Layer 1,328,330059.817431299
Demo 1 Alpha Group Layer 1,329,268940.812389835
Demo 1 Alpha Group Layer 1,330,206345.039378326
Demo 1 Alpha Group Layer 1,331,205615.515459561
Demo 1 Alpha Group Layer 1,332,385754.798360654
Demo 1 Alpha Group Layer 1,333,644967.906748877
Demo 1 Alpha Group Layer 1,334,107169.868778847
Demo 1 Alpha Group Layer 1,335,1169495.91314268
Demo 1 Alpha Group Layer 1,336,330036.502659314
Demo 1 Alpha Group Layer 1,337,1448822.36550026
Demo 1 Alpha Group Layer 1,338,32507.6460795687
Demo 1 Alpha Group Layer 1,339,259520.25078401
Demo 1 Alpha Group Layer 1,340,525420.059348662
Demo 1 Alpha Group Layer 1,341,1064483.94173497
Demo 1 Alpha Group Layer 1,342,709717.678182617
Demo 1 Alpha Group Layer 1,343,529078.271921837
Demo 1 Alpha Group Layer 1,344,135394.694681448
Demo 1 Alpha Group Layer 1,345,151511.928421755
Demo 1 Alpha Group Layer 1,346,691126.189705888
Demo 1 Alpha Group Layer 1,347,4035975.02559944
Demo 1 Alpha Group Layer 1,348,592144.271646264
Demo 1 Alpha Group Layer 1,349,88962.984856272
Demo 1 Alpha Group Layer 1,350,266131.361256429
Demo 1 Alpha Group Layer 1,351,1419294.73671365
Demo 1 Alpha Group Layer 1,352,281856.308862969
Demo 1 Alpha Group Layer 1,353,249074.616236954
Demo 1 Alpha Group Layer 1,354,82634.7719110331
Demo 1 Alpha Group Layer 1,355,637484.708134899
Demo 1 Alpha Group Layer 1,356,455911.817455557
Demo 1 Alpha Group Layer 1,357,113163.630840384
Demo 1 Alpha Group Layer 1,358,147567.692679151
Demo 1 Alpha Group Layer 1,359,61914.3276617748
Demo 1 Alpha Group Layer 1,360,180514.187867759
Demo 1 Alpha Group Layer 1,361,670413.895559606
Demo 1 Alpha Group Layer 1,362,48894.1320131332
Demo 1 Alpha Group Layer 1,363,158683.603790095
Demo 1 Alpha Group Layer 1,364,266159.666379858
Demo 1 Alpha Group Layer 1,365,812568.652279676
Demo 1 Alpha Group Layer 1,366,134312.871122644
Demo 1 Alpha Group Layer 1,367,15992.1274279481
Demo 1 Alpha Group Layer 1,368,154069.50622876
Demo 1 Alpha Group Layer 1,369,107904.426964803
Demo 1 Alpha Group Layer 1,370,187806.962914104
Demo 1 Alpha Group Layer 1,371,169905.177371157
Demo 1 Alpha Group Layer 1,372,216495.731159191
Demo 1 Alpha Group Layer 1,373,49072.0896612955
Demo 1 Alpha Group Layer 1,374,1665981.59621024
Demo 1 Alpha Group Layer 1,375,278765.501057191
Demo 1 Alpha Group Layer 1,376,157611.832365858
Demo 1 Alpha Group Layer 1,377,778350.319755534
Demo 1 Alpha Group Layer 1,378,274786.715334125
Demo 1 Alpha Group Layer 1,379,487323.957735087
Demo 1 Alpha Group Layer 1,380,199755.334926727
Demo 1 Alpha Group Layer 1,381,178317.623493116
Demo 1 Alpha Group Layer 1,382,421715.109040593
Demo 1 Alpha Group Layer 1,383,159095.351522422
Demo 1 Alpha Group Layer 1,384,51455.223980348
Demo 1 Alpha Group Layer 1,385,576711.082330198
Demo 1 Alpha Group Layer 1,386,460595.775620541
Demo 1 Alpha Group Layer 1,387,400903.255357143
Demo 1 Alpha Group Layer 1,388,256536.781485768
Demo 1 Alpha Group Layer 1,389,2142082.79965992
Demo 1 Alpha Group Layer 1,390,123921.18367624
Demo 1 Alpha Group Layer 1,391,1036334.16285502
Demo 1 Alpha Group Layer 1,392,451472.601179114
Demo 1 Alpha Group Layer 1,393,487674.362536692
Demo 1 Alpha Group Layer 1,394,1337857.39156163
Demo 1 Alpha Group Layer 1,395,312012.95611282
Demo 1 Alpha Group Layer 1,396,1405711.80324897
Demo 1 Alpha Group Layer 1,397,419296.100149916
Demo 1 Alpha Group Layer 1,398,615729.674783889
Demo 1 Alpha Group Layer 1,399,112414.427449663
Demo 1 Alpha Group Layer 1,400,167482.030550536
Demo 1 Alpha Group Layer 1,401,1155471.89073838
Demo 1 Alpha Group Layer 1,402,115409.41967037
Demo 1 Alpha Group Layer 1,403,396885.136409426
Demo 1 Alpha Group Layer 1,404,3309634.64815649
Demo 1 Alpha Group Layer 1,405,102008.317888988
Demo 1 Alpha Group Layer 1,406,948910.284220343
Demo 1 Alpha Group Layer 1,407,378109.339682971
Demo 1 Alpha Group Layer 1,408,157229.484808465
Demo 1 Alpha Group Layer 1,409,64051.0123729955
Demo 1 Alpha Group Layer 1,410,397439.406026406
Demo 1 Alpha Group Layer 1,411,460292.347501081
Demo 1 Alpha Group Layer 1,412,84269.3275325508
Demo 1 Alpha Group Layer 1,413,312111.444975842
Demo 1 Alpha Group Layer 1,414,182709.805486389
Demo 1 Alpha Group Layer 1,415,77488.0336725703
Demo 1 Alpha Group Layer 1,416,106291.480974655
Demo 1 Alpha Group Layer 1,417,102730.423973191
Demo 1 Alpha Group Layer 1,418,78573.6082175932
Demo 1 Alpha Group Layer 1,419,1374410.43853088
Demo 1 Alpha Group Layer 1,420,381708.805810609
Demo 1 Alpha Group Layer 1,421,149151.707139672
Demo 1 Alpha Group Layer 1,422,82370.8129790082
Demo 1 Alpha Group Layer 1,423,665714.994719717
Demo 1 Alpha Group Layer 1,424,603822.799428698
Demo 1 Alpha Group Layer 1,425,202768.63545311
Demo 1 Alpha Group Layer 1,426,299651.260943533
Demo 1 Alpha Group Layer 1,427,253463.979439086
Demo 1 Alpha Group Layer 1,428,244480.840827582
Demo 1 Alpha Group Layer 1,429,29394.5721009798
Demo 1 Alpha Group Layer 1,430,195472.317935036
Demo 1 Alpha Group Layer 1,431,438921.562928374
Demo 1 Alpha Group Layer 1,432,506891.821472532
Demo 1 Alpha Group Layer 1,433,36030.9935007146
Demo 1 Alpha Group Layer 1,434,121019.427899464
Demo 1 Alpha Group Layer 1,435,625576.515211424
Demo 1 Alpha Group Layer 1,436,1469021.53745401
Demo 1 Alpha Group Layer 1,437,66609.1964431425
Demo 1 Alpha Group Layer 1,438,247864.591629357
Demo 1 Alpha Group Layer 1,439,106135.725479327
Demo 1 Alpha Group Layer 1,440,2564062.67223201
Demo 1 Alpha Group Layer 1,441,110094.059836393
Demo 1 Alpha Group Layer 1,442,879759.363212435
Demo 1 Alpha Group Layer 1,443,670871.03799129
Demo 1 Alpha Group Layer 1,444,625932.62554761
Demo 1 Alpha Group Layer 1,445,363987.99962348
Demo 1 Alpha Group Layer 1,446,531975.248387261
Demo 1 Alpha Group Layer 1,447,960864.31392931
Demo 1 Alpha Group Layer 1,448,422588.863961801
Demo 1 Alpha Group Layer 1,449,202988.601679639
Demo 1 Alpha Group Layer 1,450,605552.173987349
Demo 1 Alpha Group Layer 1,451,643128.681729772
Demo 1 Alpha Group Layer 1,452,143204.6027174
Demo 1 Alpha Group Layer 1,453,190124.347476695
Demo 1 Alpha Group Layer 1,454,305434.703450802
Demo 1 Alpha Group Layer 1,455,438229.626355054
Demo 1 Alpha Group Layer 1,456,425408.341212428
Demo 1 Alpha Group Layer 1,457,333897.914583807
Demo 1 Alpha Group Layer 1,458,96763.7006693441
Demo 1 Alpha Group Layer 1,459,425098.584516227
Demo 1 Alpha Group Layer 1,460,2457598.80777455
Demo 1 Alpha Group Layer 1,461,216842.317343551
Demo 1 Alpha Group Layer 1,462,1125065.99260884
Demo 1 Alpha Group Layer 1,463,374894.924993775
Demo 1 Alpha Group Layer 1,464,90674.8815646209
Demo 1 Alpha Group Layer 1,465,314112.797494543
Demo 1 Alpha Group Layer 1,466,237572.726132371
Demo 1 Alpha Group Layer 1,467,433501.486100538
Demo 1 Alpha Group Layer 1,468,142504.036527594
Demo 1 Alpha Group Layer 1,469,638886.27919887
Demo 1 Alpha Group Layer 1,470,234434.622495265
Demo 1 Alpha Group Layer 1,471,1571022.26794116
Demo 1 Alpha Group Layer 1,472,340799.231442181
Demo 1 Alpha Group Layer 1,473,1345570.37953871
Demo 1 Alpha Group Layer 1,474,105378.735254115
Demo 1 Alpha Group Layer 1,475,1111538.35926151
Demo 1 Alpha Group Layer 1,476,131849.287874344
Demo 1 Alpha Group Layer 1,477,175430.821523722
Demo 1 Alpha Group Layer 1,478,107635.245163154
Demo 1 Alpha Group Layer 1,479,1085489.24432488
Demo 1 Alpha Group Layer 1,480,67927.6767267555
Demo 1 Alpha Group Layer 1,481,384122.377411889
Demo 1 Alpha Group Layer 1,482,348007.992260587
Demo 1 Alpha Group Layer 1,483,419799.606736792
Demo 1 Alpha Group Layer 1,484,94655.985127537
Demo 1 Alpha Group Layer 1,485,700442.9063543
Demo 1 Alpha Group Layer 1,486,95602.0485581387
Demo 1 Alpha Group Layer 1,487,51351.9033569848
Demo 1 Alpha Group Layer 1,488,153200.808764639
Demo 1 Alpha Group Layer 1,489,94165.844089449
Demo 1 Alpha Group Layer 1,490,112440.037157163
Demo 1 Alpha Group Layer 1,491,572643.534172264
Demo 1 Alpha Group Layer 1,492,135898.670261872
Demo 1 Alpha Group Layer 1,493,160475.240093442
Demo 1 Alpha Group Layer 1,494,306114.924885926
Demo 1 Alpha Group Layer 1,495,203345.578229772
Demo 1 Alpha Group Layer 1,496,63167.5521751374
Demo 1 Alpha Group Layer 1,497,254883.132743775
Demo 1 Alpha Group Layer 1,498,172138.896787425
Demo 1 Alpha Group Layer 1,499,1045597.85767593
Demo 1 Alpha Group Layer 1,500,190257.33889044
Demo 1 Alpha Group Layer 1,501,335208.708992152
Demo 1 Alpha Group Layer 1,502,219333.890182559
Demo 1 Alpha Group Layer 1,503,38032.3025605899
Demo 1 Alpha Group Layer 1,504,77446.329651846
Demo 1 Alpha Group Layer 1,505,424933.124291623
Demo 1 Alpha Group Layer 1,506,40833.935319511
Demo 1 Alpha Group Layer 1,507,738916.046025271
Demo 1 Alpha Group Layer 1,508,281666.325027567
Demo 1 Alpha Group Layer 1,509,560393.976824763
Demo 1 Alpha Group Layer 1,510,106457.974037331
Demo 1 Alpha Group Layer 1,511,165271.097362209
Demo 1 Alpha Group Layer 1,512,279616.18795115
Demo 1 Alpha Group Layer 1,513,109526.488307065
